"x","predicted","std.error","conf.low","conf.high","response.level","group","Taxa","Zone"
"Abra",0.351037998009982,0.0351379347472918,0.282168911414171,0.419907084605792,"1","S","Abra","S"
"Abra",0.196102393149648,0.0127501074981457,0.171112641654268,0.221092144645027,"2","S","Abra","S"
"Abra",0.153304225973748,0.0130400564957249,0.12774618488576,0.178862267061736,"3","S","Abra","S"
"Abra",0.238130187879565,0.0222246006593136,0.194570771016526,0.281689604742605,"4","S","Abra","S"
"Abra",0.0535246702183551,0.0093424468636536,0.0352138108381149,0.0718355295985953,"5","S","Abra","S"
"Abra",0.00790052476870229,0.00283327107927546,0.00234741549488347,0.0134536340425211,"6","S","Abra","S"
"Abra",0.475741320246751,0.0564742464472354,0.36505383115613,0.586428809337371,"1","D","Abra","D"
"Abra",0.194127610029564,0.0145594444685842,0.165591623236228,0.2226635968229,"2","D","Abra","D"
"Abra",0.12917386795547,0.0155113948509728,0.0987720926975833,0.159575643213357,"3","D","Abra","D"
"Abra",0.164943686641096,0.029411316086784,0.107298566373076,0.222588806909116,"4","D","Abra","D"
"Abra",0.0315211249452004,0.00827363829022541,0.0153050918752471,0.0477371580151538,"5","D","Abra","D"
"Abra",0.00449239018191916,0.00185070348062957,0.000865078013822288,0.00811970235001603,"6","D","Abra","D"
"Pmas",0.911477085905948,0.0172563761371825,0.877655210173394,0.945298961638502,"1","S","Pmas","S"
"Pmas",0.0493736972785064,0.00923064580739695,0.0312819639419628,0.0674654306150501,"2","S","Pmas","S"
"Pmas",0.0196404268276735,0.00420962756749779,0.0113897084070508,0.0278911452482961,"3","S","Pmas","S"
"Pmas",0.0167126438202976,0.00377766463899002,0.00930855718220664,0.0241167304583885,"4","S","Pmas","S"
"Pmas",0.00246072579325535,0.000648251703073365,0.0011901758023148,0.0037312757841959,"5","S","Pmas","S"
"Pmas",0.000335420374319328,0.000136365900358978,6.81481208963545e-05,0.000602692627742302,"6","S","Pmas","S"
"Pmas",0.940269408121889,0.0139032124826882,0.913019612386412,0.967519203857365,"1","D","Pmas","D"
"Pmas",0.033908489717746,0.00769336852323625,0.0188297644924089,0.0489872149430832,"2","D","Pmas","D"
"Pmas",0.01307082588954,0.00325918961419629,0.00668293162692829,0.0194587201521517,"3","D","Pmas","D"
"Pmas",0.0109377661328956,0.00282191463360493,0.00540691508358339,0.0164686171822078,"4","D","Pmas","D"
"Pmas",0.00159621302348772,0.000462268925169897,0.000690182578982686,0.00250224346799276,"5","D","Pmas","D"
"Pmas",0.000217297114441628,9.2070383770441e-05,3.68424782087826e-05,0.000397751750674473,"6","D","Pmas","D"
"Menc",0.523561401050989,0.0496307101092479,0.426286996709716,0.620835805392263,"1","S","Menc","S"
"Menc",0.187889435761042,0.0149244657437649,0.158638020414761,0.217140851107323,"2","S","Menc","S"
"Menc",0.11783607540911,0.0145045678529399,0.0894076448060302,0.146264506012189,"3","S","Menc","S"
"Menc",0.141301207183738,0.0235746106922257,0.0950958192774224,0.187506595090053,"4","S","Menc","S"
"Menc",0.0257716914774606,0.00617905198591746,0.0136609721264616,0.0378824108284595,"5","S","Menc","S"
"Menc",0.00364018911766073,0.00143966048187291,0.000818506423224245,0.00646187181209722,"6","S","Menc","S"
"Menc",0.427607074309182,0.0576455712077651,0.314623830873723,0.54059031774464,"1","D","Menc","D"
"Menc",0.197482544319309,0.0137691241045279,0.170495556975772,0.224469531662846,"2","D","Menc","D"
"Menc",0.139627001615946,0.0156545152735007,0.108944715484452,0.170309287747439,"3","D","Menc","D"
"Menc",0.191142594695178,0.0325438880672919,0.127357746166383,0.254927443223973,"4","D","Menc","D"
"Menc",0.0385807737050902,0.010001902304,0.018977405412362,0.0581841419978184,"5","D","Menc","D"
"Menc",0.00556001135529538,0.00228398511533942,0.00108348278800455,0.0100365399225862,"6","D","Menc","D"
"Lobo_sp",0.809699986841066,0.0389637226941712,0.733332493656884,0.886067480025247,"1","S","Lobo_sp","S"
"Lobo_sp",0.098995409591851,0.0178996800724633,0.0639126813150336,0.134078137868668,"2","S","Lobo_sp","S"
"Lobo_sp",0.0441514353051196,0.0101432878140521,0.0242709565047534,0.0640319141054857,"3","S","Lobo_sp","S"
"Lobo_sp",0.0401743859894633,0.0103456454923961,0.0198972934275478,0.0604514785513788,"4","S","Lobo_sp","S"
"Lobo_sp",0.00613753616048263,0.00184225666285492,0.00252677945100803,0.00974829286995722,"5","S","Lobo_sp","S"
"Lobo_sp",0.000841246112017746,0.000363618084994746,0.00012856776130062,0.00155392446273487,"6","S","Lobo_sp","S"
"Lobo_sp",0.648889685386863,0.0550078013644027,0.541076375843901,0.756702994929826,"1","D","Lobo_sp","D"
"Lobo_sp",0.159116497380424,0.0186695581527785,0.122524835793702,0.195708158967146,"2","D","Lobo_sp","D"
"Lobo_sp",0.0857156440547072,0.0153623820874327,0.0556059284465958,0.115825359662819,"3","D","Lobo_sp","D"
"Lobo_sp",0.0893923364417113,0.0204904183519574,0.0492318544437162,0.129552818439706,"4","D","Lobo_sp","D"
"Lobo_sp",0.0148266253403849,0.00430788119826295,0.00638333334211224,0.0232699173386575,"5","D","Lobo_sp","D"
"Lobo_sp",0.00205921139590903,0.000880789925837767,0.000332894863321305,0.00378552792849676,"6","D","Lobo_sp","D"
"Acor",0.748865028335855,0.0261038129895378,0.697702495017192,0.800027561654518,"1","S","Acor","S"
"Acor",0.124552703893885,0.0120043362096118,0.101024637264736,0.148080770523035,"2","S","Acor","S"
"Acor",0.05960430107155,0.00770458647029858,0.0445035890739902,0.0747050130691098,"3","S","Acor","S"
"Acor",0.0568300185781528,0.00831712649008321,0.0405287502027257,0.07313128695358,"4","S","Acor","S"
"Acor",0.0089201471165351,0.00178638893578147,0.0054188891400226,0.0124214050930476,"5","S","Acor","S"
"Acor",0.00122780100402142,0.000453027068501604,0.00033988426573652,0.00211571774230633,"6","S","Acor","S"
"Acor",0.61283332484695,0.0727043036473182,0.470335508177142,0.755331141516758,"1","D","Acor","D"
"Acor",0.169137783667552,0.0215638241991419,0.12687346486828,0.211402102466823,"2","D","Acor","D"
"Acor",0.095150904500293,0.0197857507462217,0.0563715456306121,0.133930263369974,"3","D","Acor","D"
"Acor",0.102950487883684,0.0287660447196844,0.0465700762554341,0.159330899511934,"4","D","Acor","D"
"Acor",0.0174886500807782,0.00613709338161052,0.0054601680830624,0.0295171320784939,"5","D","Acor","D"
"Acor",0.00243884902074298,0.00115471716636849,0.000175644962330592,0.00470205307915538,"6","D","Acor","D"
"Plat",0.564047426451644,0.0435795616568605,0.478633055142155,0.649461797761134,"1","S","Plat","S"
"Plat",0.180490084284076,0.0150981953790316,0.150898165109625,0.210082003458527,"2","S","Plat","S"
"Plat",0.107724076390451,0.0128513759831352,0.0825358423117235,0.132912310469179,"3","S","Plat","S"
"Plat",0.123020545258661,0.0190746746728342,0.085634869883088,0.160406220634235,"4","S","Plat","S"
"Plat",0.0216755973577516,0.00485047837880041,0.0121688344275126,0.0311823602879906,"5","S","Plat","S"
"Plat",0.0030422702574151,0.00116972109766325,0.000749659034038464,0.00533488148079174,"6","S","Plat","S"
"Plat",0.648473741369849,0.0656039998428288,0.519892264436133,0.777055218303564,"1","D","Plat","D"
"Plat",0.159239763776488,0.0214839932988713,0.117131910666601,0.201347616886376,"2","D","Plat","D"
"Plat",0.0858248042210927,0.0179539091385654,0.0506357889278001,0.121013819514385,"3","D","Plat","D"
"Plat",0.0895428869275944,0.0242355168552094,0.0420421467446705,0.137043627110518,"4","D","Plat","D"
"Plat",0.014855492107809,0.00500131245892188,0.00505309981289061,0.0246578844027273,"5","D","Plat","D"
"Plat",0.00206331159716677,0.000953199511627327,0.000195074884296043,0.0039315483100375,"6","D","Plat","D"
